ID,Description,Entry_ID
376-auneiseifaurus,Auneiseifaurus,376-auneiseifaurus
377-aunisimus,Aunisimus,377-aunisimus
378-grabdenkmalergraber,"Grabdenkmäler, Gräber",378-aurahjom
379-schweituch,Schweißtuch,379-aurali
380-krug,Krug,380-aurkjus
381-aurkeis,aurkeis*,381-aurkeis
382-garten,Garten,382-aurtigards
383-landmannwinzer,"Landmann, Winzer",383-aurtja
384-ohr,Ohr,384-auso
385-wuste,Wüste,385-auida
386-ode,öde,386-aueis
387-aus,auþs*,387-aus
388-schafherde,Schafherde,388-awei
389-einemdanken,einem  danken,389-awiliudon
390-dank,Dank,390-awiliu
391-schafstall,Schafstall,391-awistr
392-gromutter,Großmutter,392-awo
393-axaia,Axaïa,393-axaia
394-uppiglebend,üppig lebend,394-azetjam
395-leicht,leicht,395-azets
396-asche,Asche,396-azgo
397-amtagederungesauertenbrode,am Tage der ungesäuerten Brode,397-azwme
398-wenn,wenn,398-ba
399-babawis,Babawis,399-babawis
400-bett,Bett,400-badi
401-bagauis,Bagauis,401-bagauis
402-baum,Baum,402-bagms
403-beide,beide,403-bai
404-baiailzaibul,Baiailzaibul,404-baiailzaibul
405-einenzwingen,einen  zwingen,405-baidjan
406-einenzwingen,einen  zwingen,406-gabaidjan
407-baidsaiidan,Baidsaiïdan,407-baidsaiidan
408-bailiam,Bailiam,408-bailiam
409-bainiamein,Bainiamein,409-bainiamein
410-maulbeerbaum,Maulbeerbaum,410-bairabagms
411-tragen,tragen ,411-bairan
412-bringen,bringen,412-atbairan
413-hineinbringen,hineinbringen,413-innatbairan
414-vertragen,vertragen,414-frabairan
415-vergleichen,vergleichen,415-gabairan
416-hindurchtragen,hindurchtragen,416-airhbairan
417-hinaustragenhervorbringenvorbringendiantwortenertragen,hinaustragen; hervorbringen; vorbringen d.i. antworten; ertragen,417-usbairan
418-hinaustragen,hinaustragen,418-utbairan
419-beroiainthrakien,Beroia in Thrakien,419-bairauja
420-gebirgsgegend,Gebirgsgegend,420-bairgahei
421-einenbergenbewahren,"einen bergen, bewahren",421-bairgan
422-einenbergenbewahren,"einen bergen, bewahren",422-gabairgan
423-helle,Helle,423-bairhtei
424-offenbaren,offenbaren,424-bairhtjan
425-offenbaren,offenbaren,425-gabairhtjan
426-helloffenbar,"hell, offenbar",426-bairhts
427-offen,offen,427-bairhtaba
428-bitterkeit,Bitterkeit,428-baitrei
429-bitter,bitter,429-baitrs
430-baiil,Baiþil,430-baiil
431-bailaem,[Baiþlaem],431-bailaem
432-baisaidan,Baiþsaïdan,432-baisaidan
433-beide,beide,433-bajos
434-schlauch,Schlauch,434-balgs
435-halsnacken,"Hals, Nacken",435-balsagga
436-salbe,Salbe,436-balsan
437-kuhnfreimutig,"kühn, freimütig",437-balaba
438-kuhnheitfreimut,"Kühnheit, Freimut",438-balei
439-kuhnseinwagen,"kühn sein, wagen",439-baljan
440-bosheit,Bosheit,440-balwawesei
441-peinstrafefolter,Pein; Strafe; Folter,441-balweins
442-martern,martern,442-balwjan
443-banauis,Banauis,443-banauis
444-bandfessel,"Band, Fessel",444-bandi
445-gefangener,Gefangener,445-bandja
446-zeichen,Zeichen,446-bandwa
447-einzeicheneinenwinkgebenandeuten,"ein Zeichen, einen Wink geben, andeuten",447-bandwjan
448-durchwinkeandeuten,durch Winke andeuten,448-gabandwjan
449-zeichen,Zeichen,449-bandwo
450-schlagwunde,"Schlag, Wunde",450-banja
451-scheuer,Scheuer,451-bansts
452-barabba,Barabba,452-barabbas
453-barakeias,Barakeias*,453-barakeias
454-nicht,Nicht,454-barbarus
455-vongerstebereitet,von Gerste bereitet,455-barizeins
456-busenscho,"Busen, Schoß",456-barms
457-kind,Kind,457-barn
458-barnabas,Barnabas,458-barnabas
459-kindlein,Kindlein,459-barnilo
460-kindlicheswesen,kindliches Wesen,460-barniskei
461-kindheit,Kindheit,461-barniski
462-kindlich,kindlich,462-barnisks
463-barteimaiaus,Barteimaiaus,463-barteimaiaus
464-baraulaumaius,Barþaulaumaius,464-baraulaumaius
465-frommverehren,fromm verehren,465-barusnjan
466-bassus,Bassus*,466-bassus
467-besser,besser,467-batiza
468-batista,batista,468-batista
469-vorteilerlangen,Vorteil erlangen,469-gabatnan
470-batwins,Batwins*,470-batwins
471-wohnung,Wohnung,471-bauains
472-wohnenbewohnen,"wohnen, bewohnen",472-bauan
473-wohnungaufschlagen,Wohnung aufschlagen,473-gabauan
474-bauanairgais,Bauanairgais,474-bauanairgais
475-bauauz,Bauauz*,475-bauauz
476-ausfegen,ausfegen,476-usbaugjan
477-aufblasen,aufblasen,477-ufbauljan
478-dergeborene,der Geborene,478-baur
479-burger,Bürger,479-baurgja
480-turmburgstadt,"Turm, Burg; Stadt",480-baurgs
481-stadtmauer,Stadtmauer,481-baurgswaddjus
482-burde,Bürde,482-baurei
483-stumm,stumm,483-baus
484-aufetwaswarten,auf etwas warten,484-beidan
485-ausharrenertragen,"ausharren, ertragen",485-gabeidan
486-erwarten,erwarten,486-usbeidan
487-sauerteig,Sauerteig,487-beist
488-durchsauern,durchsäuern,488-gabeistjan
489-beien,beißen,489-beitan
490-scheltenbedrohen,"schelten, bedrohen",490-andbeitan
491-bero,Beroþ,491-bero
492-eltern,Eltern,492-berusjos
493-beania,Beþania,493-beania
494-belaihaim,Beþlaihaim,494-belaihaim
495-besaeida,Beþsaeida,495-besaeida
496-besfagei,Beþsfagei,496-besfagei
497-beium,"bei, um",497-bi
498-lager,Lager,498-bibaurgeins
499-bittegebetanliegenaufforderung,"Bitte, Gebet; Anliegen, Aufforderung",499-bida
500-bettler,Bettler,500-bidagwa
501-bittenbetenbetteln,"bitten, beten, betteln",501-bidjan
502-betenbitten,"beten, bitten",502-gabidjan
503-erbitten,erbitten,503-usbidan
504-ubervorteilung,Übervorteilung,504-bifaih
505-ubervorteilung,Übervorteilung,505-bifaihon
506-ublenachrede,üble Nachrede,506-bihait
507-prahler,Prahler,507-bihaitja
508-woran,woran,508-bie
509-zugleichaberrusteauch,zugleich aber rüste auch,509-bijands
510-beschneidung,Beschneidung,510-bimait
511-einenmitetwasbinden,einen mit etwas  binden,511-bindan
512-losenauflosenerklarenentbindenvon,"lösen; auflösen, erklären; entbinden von",512-andbindan
513-umbindenmit,umbinden mit ,513-bibindan
514-binden,binden,514-gabindan
515-gefahr,Gefahr,515-bireikei
516-ingefahrkommen,in Gefahr kommen,516-birekjai
517-murrenverleumdungen,Murren; Verleumdungen,517-birodeins
518-nachstellunganschlag,"Nachstellung, Anschlag",518-birunains
519-eltern,Eltern,519-birusjos
520-befleckung,Befleckung,520-bisauleins
521-ansto,Anstoß,521-bistuggq
522-ringsum,ringsum,522-bisunjane
523-nachherspater,"nachher, später",523-bie
524-entbietenbefehlen,"entbieten, befehlen",524-anabiudan
525-verbieten,verbieten,525-faurbiudan
526-beugensichbeugen,beugen; sich beugen,526-biugan
527-beugen,beugen,527-gabiugan
528-gewohnheit,Gewohnheit,528-biuhti
529-gewohnt,gewohnt,529-biuhts
530-tisch,Tisch,530-bius
531-sichvermischenmit,sich vermischen mit,531-blandan
532-abschaffen,abschaffen,532-blaujan
533-abschaffen,abschaffen,533-gablaujan
534-wohlwollengute,"Wohlwollen, Güte",534-bleiei
535-barmherzigsein,barmherzig sein,535-bleijan
536-sicherbarmen,sich erbarmen,536-gableijan
537-barmherzigdemgutenzugetan,barmherzig; dem Guten zugetan,537-bleis
