ID,Language_ID,Headword,Part_Of_Speech
258-andanumts,Gothic,andanumts,"Noun, common, feminine"
259-andasets,Gothic,andasets,Adjective
260-andastajis,Gothic,andastaþjis,"Noun, common, masculine"
261-andastaua,Gothic,andastaua,"Noun, common, masculine"
262-andaahts,Gothic,andaþāhts,Adjective
263-andaugi,Gothic,andaugi,"Noun, common, neuter"
264-andaugiba,Gothic,andaugiba,Adverb
265-andaugjo,Gothic,andaugjo,Adverb
266-andawairi,Gothic,andawairþi,"Noun, common, neuter"
267-andawaurdi,Gothic,andawaurdi,"Noun, common, neuter"
268-andawizns,Gothic,andawizns,"Noun, common, feminine"
269-andawleizn,Gothic,andawleizn*,"Noun, common, neuter"
270-andbahti,Gothic,andbahti,"Noun, common, neuter"
271-andbahtjan,Gothic,andbahtjan,Verb
272-andbahts,Gothic,andbahts,"Noun, common, masculine"
273-andeis,Gothic,andeis,"Noun, common, masculine"
274-andhuleins,Gothic,andhuleins,"Noun, common, feminine"
275-andilaus,Gothic,andilaus,Adjective
276-andizuh,Gothic,andizuh,Conjunction
277-andraias,Gothic,Andraias,"Noun, proper"
278-andstald,Gothic,andstald*,"Noun, common, neuter"
279-andwairi,Gothic,andwairþi,"Noun, common, neuter"
280-andwairs,Gothic,andwairþs,Adjective
281-anna,Gothic,Anna,"Noun, proper"
282-annas,Gothic,Annas,"Noun, proper"
283-anno,Gothic,anno*,"Noun, common, feminine"
284-ano,Gothic,Ano*,"Noun, proper"
285-ans,Gothic,ans*,"Noun, common, masculine"
286-ansteigs,Gothic,ansteigs,Adjective
287-ansts,Gothic,ansts,"Noun, common, feminine"
288-antiaukiaantiokia,Gothic,"Antiaukia*, Antiokia*","Noun, proper"
289-anar,Gothic,anþar,Adjective
290-anarleikei,Gothic,anþarleikei,"Noun, common, feminine"
291-anarleiko,Gothic,anþarleiko,Adverb
292-appaullo,Gothic,Appaullo*,"Noun, proper"
293-apaustaulei,Gothic,apaustaulei,"Noun, common, feminine"
294-apaustaulus,Gothic,apaustaulus,"Noun, common, masculine"
295-aqizi,Gothic,aqizi,"Noun, common, feminine"
296-ara,Gothic,ara,"Noun, common, masculine"
297-arabia,Gothic,Arabia,"Noun, proper"
