Grapheme	IPA
Banauis	banɔɪs
bandi	bandɪ
bandja	bandja
bandwa	bandwa
bandwjan	bandwjan
gabandwjan	ɡaβandwjan
bandwo	bandwo
banja	banja
bansts	bansts
Barabba	barabːa
Barakeias	barakias
barbarus	barbarus
barizeins	barɪzins
barms	barm̥s
barn	barn̥
Barnabas	barnaβas
barnilo	barnɪlo
barniskei	barnɪski
barniski	barnɪskɪ
barnisks	barnɪsks
Barteimaiaus	bartimɛɔs
Barþaulaumaius	barθɔlɔmɛus
barusnjan	barusnjan
Bassus	basːus
batiza	batɪza
batista	batɪsta
gabatnan	ɡaβatnan
Batwins	batwɪns
bauains	bɔɛns
bauan	bɔan
gabauan	ɡaβɔan
Bauanairgais	bɔanɛrɡɛs
Bauauz	bɔɔz
usbaugjan	usbɔɣjan
ufbauljan	uɸbɔljan
baur	bɔr
baurgja	bɔrɡja
baurgs	bɔrɡs
baurgswaddjus	bɔrɡswadːjus
baurþei	bɔrθi
bauþs	bɔθs
beidan	biðan
gabeidan	ɡaβiðan
usbeidan	usbiðan
beist	bist
gabeistjan	ɡaβistjan
beitan	bitan
andbeitan	andbitan
Beroþ	beroθ
berusjos	berusjos
Beþania	beθanɪa
Beþlaihaim	beθlɛhɛm
Beþsaeida	beθsaiða
Beþsfagei	beθsɸaɣi
bi	bɪ
bibaurgeins	bɪβɔrɡins
bida	bɪða
bidagwa	bɪðaɣwa
bidjan	bɪðjan
gabidjan	ɡaβɪðjan
usbidan	usbɪðan
bifaih	bɪɸɛh
bifaihon	bɪɸɛhon
bihait	bɪhɛt
bihaitja	bɪhɛtja
biƕe	bɪʍe
bijands	bɪjands
bimait	bɪmɛt
bindan	bɪndan
andbindan	andbɪndan
bibindan	bɪβɪndan
gabindan	ɡaβɪndan
bireikei	bɪriki
birekjai	bɪrekjɛ
birodeins	bɪroðins
birūnains	bɪrunɛns
birusjos	bɪrusjos
bisauleins	bɪsɔlins
bistugq	bɪstuŋkʷ
