sense	pos	Concepticon_ID	Concepticon_Gloss
Zahn	Noun, common, masculine	1380	TOOTH
zwölf	Numeral, cardinal	1707	TWELVE
denken, überlegen	Verb	1415	THINK (REFLECT)
Lehm	Noun, common, feminine	1399	CLAY
durch	Preposition, +A	97	THROUGH
Loch, Nadelöhr	Noun, common, neuter	1667	HOLE
dann, darauf	Adverb, temporal	2921	THEN
dort	Adverb, locative	1937	THERE
wo	Adverb	1237	WHERE
da	Adverb	1937	THERE
der, dieser	<none>	1214	THIS
nur	Adverb	1580	ONLY
Zeit	Noun, common, neuter	892	TIME
Donner	Noun, common, feminine	1150	THUNDER
König	Noun, common, masculine	1508	KING
gut, gepriesen	Adjective	1035	GOOD
laufen	Verb	1519	RUN
drei	Numeral, cardinal	492	THREE
der dritte	Numeral, ordinal	1859	THIRD
du	Pronoun, personal	1215	THOU
der du	Pronoun, personal, relative	1215	THOU
glauben, meinen; gelten	Verb	1890	BELIEVE
erdulden, ertragen	Verb	833	ENDURE
tausend	Noun, common, feminine	1843	THOUSAND
übel, böse	Adjective	45	EVIL
unter	Preposition, +AD	1485	BELOW OR UNDER
über	Preposition, +AD	1741	ABOVE
oft	Adverb, temporal	1852	OFTEN
und, nun, also	Particle, enclitic	1577	AND
unter	Preposition, +D	1485	BELOW OR UNDER
Schwäche, Krankheit	Noun, common, neuter	1986	DISEASE
krank	Adjective	1847	SICK
arm	Adjective	1674	POOR
ohnmächtig, schwach	Adjective	1601	WEAK
Ohnmacht, Schwäche, Krankheit	Noun, common, feminine	1986	DISEASE
ungezähmt, wild oder unfreundlich, barsch	Adjective	2966	PERCH (FISH)
übel, böse	Adjective	45	EVIL
Unvolk, Nicht	Noun, common, feminine	1240	NOT
das Böse	Noun, common, neuter	45	EVIL
unerwartet, plötzlich	Adverb	2920	SUDDENLY
Nahrung	Noun, common, feminine	256	FOOD
bekannt, offenbar	Adjective	3005	FAMILIAR
erschließen, öffnen	<none>	1156	OPEN
Vollendung, Vervollkommnung; Ende; Erfüllung	Noun, common, feminine	742	END (OF SPACE)
schütteln	Verb	1909	SHAKE
wachsen	Verb	479	GROW
Winkel, Ecke	Noun, common, masculine	192	CORNER
Ding, Sache, Etwas	Noun, common	738	THING
wohl, gut	Adverb	1035	GOOD
verbinden	Verb	2862	CONNECT
Mann	Noun, common, masculine	1554	MAN
Lippe	Noun, common, feminine	478	LIP
werfen	Verb	1456	THROW
Preis	Noun, common	657	PRICE
werden	Verb	1990	BECOME
verderben	Verb	92	SPOIL (SOMEBODY OR SOMETHING)
erwachen	Verb	1602	WAKE UP
Gewalt, Macht über	Noun, common, neuter	2976	VIOLENCE
wählen	Verb	1750	CHOOSE
Bauch, Schoß	Noun, common, feminine	1251	BELLY
wenden	Verb	1445	TURN (SOMETHING)
wenden	Verb	1445	TURN (SOMETHING)
verderben	Verb	92	SPOIL (SOMEBODY OR SOMETHING)
wehren	Verb	1330	DEFEND
Wasser	Noun, common, neuter	948	WATER
Wort	Noun, common, neuter	1599	WORD
machen, wirken	Verb	734	MAKE
Wurm, Schlange	Noun, common, masculine	730	SNAKE
Arbeiter	Noun, common, masculine	2977	WORKER
das Tun	Noun, common, feminine	813	DO
Arbeiter	Noun, common, masculine	2977	WORKER
Wurzel	Noun, common, feminine	670	ROOT
kämpfen	Verb	1423	FIGHT
Dorf, Weiler	Noun, common, neuter	930	VILLAGE
wir	Pronoun, personal	1212	WE
heimsuchen, besuchen, besorgen	Verb	1377	VISIT
warten, hoffen auf 	Verb	1590	WAIT (FOR)
zusammenbinden, verbinden	Verb	2862	CONNECT
Weg	Noun, common, masculine	2252	PATH
wollen	Verb	1784	WANT
Wind	Noun, common, masculine	960	WIND
Weide	Noun, common, feminine	649	PASTURE
Jahr	Noun, common, masculine	1226	YEAR
weilen, bleiben	Verb	987	REMAIN
verbleiben, verharren	Verb	987	REMAIN
wissen	Verb	1410	KNOW (SOMETHING)
schütteln	Verb	1909	SHAKE
rufen	Verb	1084	CALL
Strich	Noun, common, masculine	2993	STROKE (OF PEN)
Schlinge	Noun, common, feminine	2604	NOOSE
wallen, sieden	Verb	792	BOIL (OF LIQUID)
Wolf	Noun, common, masculine	522	WOLF
Wolle	Noun, common, feminine	964	WOOL
