Grapheme	IPA
riurei	r ɪ u r i
riurjan	r ɪ u r j a n
riureis	r ɪ u r i s
riurs	r ɪ u r s
rodjan	r o ð j a n
birodjan	b ɪ r o ð j a n
miþrodjan	m ɪ θ r o ð j a n
rohsns	r o h s n̥ s
rufus	r u ɸ u s
rūmis	r u m ɪ s
rūma	r u m a
urrūmnan	u rː u m n a n
rūmoneis	r u m o n i s
rūms	r u m s
rūna	r u n a
runs	r u n s
sa	s a
sabaillius	s a β ɛ lː ɪ u s
saban	s a β a n
sabaoþ	s a β a o θ
sabbato	s a bː a t o
saddukaieis	s a dː u k ɛ i s
sads	s a ð s
saei	s a i
saggqjan	s a ŋ ɡ kʷ j a n
ufsaggqjan	u ɸ s a ŋ ɡ kʷ j a n
ufsaggqjan	u ɸ s a ŋ ɡ kʷ j a n
saggqa	s a ŋ ɡ kʷ a
saggws	s a ɡ ɡ w s
sah	s a h
saƕazuh	s a ʍ a z u h
sai	s ɛ
saian	s ɛ a n
insaian	ɪ n s ɛ a n
saihs	s ɛ h s
saihsta	s ɛ h s t a
saiƕan	s ɛ ʍ a n
andsaiƕan	a n d s ɛ ʍ a n
atsaiƕan	a t s ɛ ʍ a n
bisaiƕan	b ɪ s ɛ ʍ a n
gasaiƕan	ɡ a s ɛ ʍ a n
insaiƕan	ɪ n s ɛ ʍ a n
þairhsaiƕan	θ ɛ r h s ɛ ʍ a n
ussaiƕan	u sː ɛ ʍ a n
insailjan	ɪ n s ɛ l j a n
sailaum	s ɛ l ɔ m
saimaiein	s ɛ m ɛ i n
sainjan	s ɛ n j a n
sáir	s ɛ r
sairok	s ɛ r o k
saiwala	s ɛ w a l a
saiws	s ɛ w s
saixaineia	s ɛ χ ɛ n i a
sakan	s a k a n
andsakan	a n d s a k a n
gasakan	ɡ a s a k a n
insakan	ɪ n s a k a n
anainsakan	a n ɛ n s a k a n
ussakan	u sː a k a n
sakjo	s a k j o
sakkus	s a kː u s
sakuls	s a k u l s
salamis	s a l a m ɪ s
salaþiel	s a l a θ ɪ e l
salbon	s a l b o n
gasalbon	ɡ a s a l b o n
salbons	s a l b o n s
saldra	s a l d r a
saliþwos	s a l ɪ θ w o s
saljan	s a l j a n
andsaljan	a n d s a l j a n
gasaljan	ɡ a s a l j a n
saljan	s a l j a n
ussaljan	u sː a l j a n
salmon	s a l m o n
salome	s a l o m e
salt	s a l t
saltan	s a l t a n
sama	s a m a
samafraþjis	s a m a ɸ r a θ j ɪ s
samakuns	s a m a k u n s
samalauþs	s a m a l ɔ θ s
samaleiks	s a m a l i k s
samaleiko	s a m a l i k o
samana	s a m a n a
samaqiss	s a m a kʷ ɪ sː
samareites	s a m a r i t e s
samaria	s a m a r ɪ a
samasaiwals	s a m a s ɛ w a l s
samaþ	s a m a θ
samjan	s a m j a n
sandjan	s a n d j a n
gasandjan	ɡ a s a n d j a n
fauragasandjan	ɸ ɔ r a ɣ a s a n d j a n
insandjan	ɪ n s a n d j a n
miþinsandjan	m ɪ θ ɪ n s a n d j a n
gamiþsandjan	ɡ a m ɪ θ s a n d j a n
ussandjan	u sː a n d j a n
saraipta	s a r ɛ p t a
sarra	s a rː a
sarwa	s a r w a
satana	s a t a n a
satjan	s a t j a n
afsatjan	a ɸ s a t j a n
atsatjan	a t s a t j a n
bisatjan	b ɪ s a t j a n
gasatjan	ɡ a s a t j a n
fauragasatjan	ɸ ɔ r a ɣ a s a t j a n
miþsatjan	m ɪ θ s a t j a n
ussatjan	u sː a t j a n
saþs	s a θ s
saudauma	s ɔ ð ɔ m a
sauhts	s ɔ h t s
sauïl	s ɔ ɪ̈ l
saulaumon	s ɔ l ɔ m o n
bisauljan	b ɪ s ɔ l j a n
bisaulnan	b ɪ s ɔ l n a n
sauls	s ɔ l s
saur	s ɔ r
saurais	s ɔ r ɛ s
saurga	s ɔ r ɡ a
saurgan	s ɔ r ɡ a n
saurini	s ɔ r ɪ n ɪ
sauþa	s ɔ θ a
sauþs	s ɔ θ s
sei	s i
seidona	s i ð o n a
seidoneis	s i ð o n i s
seimon	s i m o n
seina	s i n a
sik	s ɪ k
seinaigairnai	s i n ɛ ɣ ɛ r n ɛ
seins	s i n s
seiteins	s i t i n s
seiþus	s i θ u s
selei	s e l i
sels	s e l s
sem	s e m
seþ	s e θ
sibakþanei	s ɪ β a k θ a n i
sibja	s ɪ β j a
gasibjon	ɡ a s ɪ β j o n
sibun	s ɪ β u n
sibuntehund	s ɪ β u n t e h u n d
sidon	s ɪ ð o n
sidus	s ɪ ð u s
sifan	s ɪ ɸ a n
siggwan	s ɪ ɡ ɡ w a n
ussiggwan	u sː ɪ ɡ ɡ w a n
sigis	s ɪ ɣ ɪ s
sigislaun	s ɪ ɣ ɪ s l ɔ n
sigljan	s ɪ ɣ l j a n
faursigljan	ɸ ɔ r s ɪ ɣ l j a n
gasigljan	ɡ a s ɪ ɣ l j a n
sigljo	s ɪ ɣ l j o
sigqan	s ɪ ŋ kʷ a n
dissigqan	d ɪ sː ɪ ŋ kʷ a n
gasiggqan	ɡ a s ɪ ŋ ɡ kʷ a n
sihw	s ɪ h w
sikls	s ɪ k l̥ s
anasilan	a n a s ɪ l a n
silba	s ɪ l b a
silbanus	s ɪ l b a n u s
silbasiuneis	s ɪ l b a s ɪ u n i s
silbawiljis	s ɪ l b a w ɪ l j ɪ s
sildaleik	s ɪ l d a l i k
sildaleikjan	s ɪ l d a l i k j a n
sildaleiknan	s ɪ l d a l i k n a n
sildaleiks	s ɪ l d a l i k s
siloam	s ɪ l o a m
silubr	s ɪ l u β r̥
silubreins	s ɪ l u β r i n s
simle	s ɪ m l e
sinapis	s ɪ n a p ɪ s
sineigs	s ɪ n i ɣ s
sinista	s ɪ n ɪ s t a
sinteins	s ɪ n t i n s
sinteino	s ɪ n t i n o
sinþs	s ɪ n θ s
sion	s ɪ o n
siponeis	s ɪ p o n i s
siponjan	s ɪ p o n j a n
sitan	s ɪ t a n
andsitan	a n d s ɪ t a n
bisitan	b ɪ s ɪ t a n
bisitands	b ɪ s ɪ t a n d s
dissitan	d ɪ sː ɪ t a n
gasitan	ɡ a s ɪ t a n
ussitan	u sː ɪ t a n
sitls	s ɪ t l̥ s
siujan	s ɪ u j a n
siukan	s ɪ u k a n
siukei	s ɪ u k i
siuks	s ɪ u k s
siuns	s ɪ u n s
skaban	s k a β a n
biskaban	b ɪ s k a β a n
skadus	s k a ð u s
ufarskadwjan	u ɸ a r s k a ð w j a n
skaftjan	s k a ɸ t j a n
skaidan	s k ɛ ð a n
afskaidan	a ɸ s k ɛ ð a n
disskaidan	d ɪ sː k ɛ ð a n
gaskaidan	ɡ a s k ɛ ð a n
gaskaidnan	ɡ a s k ɛ ð n a n
skal	s k a l
skalja	s k a l j a
skalkinassus	s k a l k ɪ n a sː u s
skalkinon	s k a l k ɪ n o n
miþskalkinon	m ɪ θ s k a l k ɪ n o n
skalks	s k a l k s
skaman	s k a m a n
gaskaman	ɡ a s k a m a n
skanda	s k a n d a
gaskapjan	ɡ a s k a p j a n
skariotau	s k a r ɪ o t ɔ
usskarjan	u sː k a r j a n
skattja	s k a tː j a
skatts	s k a tː s
skaþaila	s k a θ ɛ l a
skaþis	s k a θ ɪ s
skaþjan	s k a θ j a n
gaskaþjan	ɡ a s k a θ j a n
skaþuls	s k a θ u l s
skaudaraip	s k ɔ ð a r ɛ p
skauns	s k ɔ n s
skauneis	s k ɔ n i s
skaurpjo	s k ɔ r p j o
skauta	s k ɔ t a
usskaujan	u sː k ɔ j a n
skeimam	s k i m a m
skeinan	s k i n a n
biskeinan	b ɪ s k i n a n
skeireins	s k i r i n s
gaskeirjan	ɡ a s k i r j a n
skeirs	s k i r s
skewjan	s k e w j a n
skildus	s k ɪ l d u s
skilja	s k ɪ l j a
skilliggs	s k ɪ lː ɪ ŋ ɡ s
skip	s k ɪ p
afskiuban	a ɸ s k ɪ u β a n
skohs	s k o h s
skohsl	s k o h s l̥
disskreitan	d ɪ sː k r i t a n
disskritnan	d ɪ sː k r ɪ t n a n
skufta	s k u ɸ t a
skuggwa	s k u ɡ ɡ w a
skula	s k u l a
skulan	s k u l a n
skūra	s k u r a
skwþus	s k w θ u s
slahals	s l a h a l s
slahan	s l a h a n
afslahan	a ɸ s l a h a n
slahs	s l a h s
slaihts	s l ɛ h t s
slauhts	s l ɔ h t s
afslaupjan	a ɸ s l ɔ p j a n
afslauþjan	a ɸ s l ɔ θ j a n
afslauþnan	a ɸ s l ɔ θ n a n
slawan	s l a w a n
anaslawan	a n a s l a w a n
gaslawan	ɡ a s l a w a n
sleiþa	s l i θ a
sleiþei	s l i θ i
gasleiþjan	ɡ a s l i θ j a n
sleiþs	s l i θ s
sleideis	s l i ð i s
slepan	s l e p a n
anaslepan	a n a s l e p a n
gaslepan	ɡ a s l e p a n
sleps	s l e p s
fraslindan	ɸ r a s l ɪ n d a n
sliupan	s l ɪ u p a n
ufsliupan	u ɸ s l ɪ u p a n
smairþr	s m ɛ r θ r̥
smakka	s m a kː a
smakkabagms	s m a kː a β a ɣ m̥ s
smalista	s m a l ɪ s t a
smarna	s m a r n a
bismeitan	b ɪ s m i t a n
gasmeitan	ɡ a s m i t a n
gasmiþon	ɡ a s m ɪ θ o n
smwrn	s m w r n̥
snaga	s n a ɣ a
snaiws	s n ɛ w s
atsnarpjan	a t s n a r p j a n
sneiþan	s n i θ a n
afsneiþan	a ɸ s n i θ a n
ufsneiþan	u ɸ s n i θ a n
sniumjan	s n ɪ u m j a n
gasniumjan	ɡ a s n ɪ u m j a n
sniumundo	s n ɪ u m u n d o
sniumundos	s n ɪ u m u n d o s
sniwan	s n ɪ w a n
duatsniwan	d u a t s n ɪ w a n
bisniwan	b ɪ s n ɪ w a n
faurbisniwan	ɸ ɔ r b ɪ s n ɪ w a n
faursniwan	ɸ ɔ r s n ɪ w a n
gasniwan	ɡ a s n ɪ w a n
snorjo	s n o r j o
snutrei	s n u t r i
snutrs	s n u t r̥ s
so	s o
sokareis	s o k a r i s
sokeins	s o k i n s
sokjan	s o k j a n
gasokjan	ɡ a s o k j a n
miþsokjan	m ɪ θ s o k j a n
ussokjan	u sː o k j a n
sokns	s o k n̥ s
soseipatrus	s o s i p a t r u s
soþa	s o θ a
gasoþjan	ɡ a s o θ j a n
spaikulatur	s p ɛ k u l a t u r
spaiskuldra	s p ɛ s k u l d r a
sparwa	s p a r w a
spaurds	s p ɔ r d s
speiwan	s p i w a n
andspeiwan	a n d s p i w a n
bispeiwan	b ɪ s p i w a n
gaspeiwan	ɡ a s p i w a n
spediza	s p e ð ɪ z a
spedists	s p e ð ɪ s t s
spedumists	s p e ð u m ɪ s t s
spilda	s p ɪ l d a
spill	s p ɪ lː
spilla	s p ɪ lː a
spillon	s p ɪ lː o n
gaspillon	ɡ a s p ɪ lː o n
þiuþspillon	θ ɪ u θ s p ɪ lː o n
usspillon	u sː p ɪ lː o n
wailaspillon	w ɛ l a s p ɪ lː o n
spinnan	s p ɪ nː a n
sprauto	s p r ɔ t o
spwreidans	s p w r i ð a n s
stabeis	s t a β i s
usstagg	u sː t a ŋ ɡ
gastagqjan	ɡ a s t a ŋ kʷ j a n
staifanus	s t ɛ ɸ a n u s
staiga	s t ɛ ɣ a
stainahs	s t ɛ n a h s
staineins	s t ɛ n i n s
stainjan	s t ɛ n j a n
stains	s t ɛ n s
stairno	s t ɛ r n o
stairo	s t ɛ r o
staks	s t a k s
andstaldan	a n d s t a l d a n
gastaldan	ɡ a s t a l d a n
stamms	s t a mː s
standan	s t a n d a n
afstandan	a ɸ s t a n d a n
andstandan	a n d s t a n d a n
atstandan	a t s t a n d a n
bistandan	b ɪ s t a n d a n
faurastandan	ɸ ɔ r a s t a n d a n
gastandan	ɡ a s t a n d a n
instandan	ɪ n s t a n d a n
miþstandan	m ɪ θ s t a n d a n
twisstandan	t w ɪ sː t a n d a n
usstandan	u sː t a n d a n
staþa	s t a θ a
staþs	s t a θ s
staua	s t ɔ a
staua	s t ɔ a
stauastols	s t ɔ a s t o l s
gastaurknan	ɡ a s t ɔ r k n a n
andstaurran	a n d s t ɔ rː a n
stautan	s t ɔ t a n
steigan	s t i ɣ a n
atsteigan	a t s t i ɣ a n
gasteigan	ɡ a s t i ɣ a n
ufarsteigan	u ɸ a r s t i ɣ a n
ussteigan	u sː t i ɣ a n
stibna	s t ɪ β n a
usstigg	u sː t ɪ ŋ ɡ
stigqan	s t ɪ ŋ kʷ a n
bistigqan	b ɪ s t ɪ ŋ kʷ a n
gastiggqan	ɡ a s t ɪ ŋ ɡ kʷ a n
stikls	s t ɪ k l̥ s
stiks	s t ɪ k s
stilan	s t ɪ l a n
stiur	s t ɪ u r
stiurjan	s t ɪ u r j a n
stiwiti	s t ɪ w ɪ t ɪ
anastodjan	a n a s t o ð j a n
dustodjan	d u s t o ð j a n
stojan	s t o j a n
gastojan	ɡ a s t o j a n
stols	s t o l s
stomin	s t o m ɪ n
gastoþan	ɡ a s t o θ a n
straujan	s t r ɔ j a n
gastraujan	ɡ a s t r ɔ j a n
ufstraujan	u ɸ s t r ɔ j a n
striks	s t r ɪ k s
stubjus	s t u β j u s
sulja	s u l j a
gasuljan	ɡ a s u l j a n
suman	s u m a n
sums	s u m s
sundro	s u n d r o
sunja	s u n j a
sunjaifriþas	s u n j ɛ ɸ r ɪ θ a s
sunjeins	s u n j i n s
sunjis	s u n j ɪ s
sunjon	s u n j o n
gasunjon	ɡ a s u n j o n
sunjons	s u n j o n s
sunno	s u nː o
suns	s u n s
sunsaiw	s u n s ɛ w
sunsei	s u n s i
sunus	s u n u s
supon	s u p o n
gasupon	ɡ a s u p o n
suqnis	s u kʷ n ɪ s
susanna	s u s a nː a
sutis	s u t ɪ s
suþjan	s u θ j a n
suþjon	s u θ j o n
swa	s w a
swaei	s w a i
afswaggwjan	a ɸ s w a ɡ ɡ w j a n
swah	s w a h
swaihra	s w ɛ h r a
swaihro	s w ɛ h r o
afswairban	a ɸ s w ɛ r b a n
biswairban	b ɪ s w ɛ r b a n
swalauþs	s w a l ɔ θ s
swaleiks	s w a l i k s
swamm	s w a mː
swaran	s w a r a n
biswaran	b ɪ s w a r a n
ufarswaran	u ɸ a r s w a r a n
sware	s w a r e
swartiza	s w a r t ɪ z a
swartizla	s w a r t ɪ z l a
swarts	s w a r t s
swaswe	s w a s w e
swaþþan	s w a θː a n
swau	s w ɔ
swe	s w e
swegniþa	s w e ɣ n ɪ θ a
swegnjan	s w e ɣ n j a n
sweiban	s w i β a n
swein	s w i n
sweran	s w e r a n
gasweran	ɡ a s w e r a n
unsweran	u n s w e r a n
sweriþa	s w e r ɪ θ a
swers	s w e r s
swes	s w e s
swes	s w e s
sweþauh	s w e θ ɔ h
swibla	s w ɪ β l a
swiglja	s w ɪ ɣ l j a
swiglon	s w ɪ ɣ l o n
swigniþa	s w ɪ ɣ n ɪ θ a
swiknei	s w ɪ k n i
swikneins	s w ɪ k n i n s
swikniþa	s w ɪ k n ɪ θ a
swikns	s w ɪ k n̥ s
gaswikunþjan	ɡ a s w ɪ k u n θ j a n
swikunþs	s w ɪ k u n θ s
swiltan	s w ɪ l t a n
gaswiltan	ɡ a s w ɪ l t a n
miþgaswiltan	m ɪ θ ɡ a s w ɪ l t a n
swinþei	s w ɪ n θ i
gaswinþjan	ɡ a s w ɪ n θ j a n
inswinþjan	ɪ n s w ɪ n θ j a n
swinþnan	s w ɪ n θ n a n
gaswinþnan	ɡ a s w ɪ n θ n a n
swinþs	s w ɪ n θ s
swistar	s w ɪ s t a r
swmaion	s w m ɛ o n
swnagogafaþs	s w n a ɣ o ɣ a ɸ a θ s
swnagoge	s w n a ɣ o ɣ e
swntwke	s w n t w k e
swogatjan	s w o ɣ a t j a n
gaswogjan	ɡ a s w o ɣ j a n
ufswogjan	u ɸ s w o ɣ j a n
swria	s w r ɪ a
swultawairþja	s w u l t a w ɛ r θ j a
swumfsl	s w u m ɸ s l̥
tagl	t a ɣ l̥
tagr	t a ɣ r̥
tagrjan	t a ɣ r j a n
tahjan	t a h j a n
distahjan	d ɪ s t a h j a n
taihswa	t ɛ h s w a
taihswa	t ɛ h s w a
taihun	t ɛ h u n
taihunda	t ɛ h u n d a
taihuntaihundfalþs	t ɛ h u n t ɛ h u n d ɸ a l θ s
taihuntehund	t ɛ h u n t e h u n d
taihunteweis	t ɛ h u n t e w i s
taikn	t ɛ k n̥
taiknjan	t ɛ k n j a n
gataiknjan	ɡ a t ɛ k n j a n
ustaiknjan	u s t ɛ k n j a n
taikns	t ɛ k n̥ s
tainjo	t ɛ n j o
tains	t ɛ n s
distairan	d ɪ s t ɛ r a n
gatairan	ɡ a t ɛ r a n
tairtius	t ɛ r t ɪ u s
taitrarkes	t ɛ t r a r k e s
taleiþa	t a l i θ a
talzeins	t a l z i n s
talzjan	t a l z j a n
talzjands	t a l z j a n d s
gatalzjan	ɡ a t a l z j a n
gatamjan	ɡ a t a m j a n
tandjan	t a n d j a n
gatandjan	ɡ a t a n d j a n
intandjan	ɪ n t a n d j a n
gatarhjan	ɡ a t a r h j a n
tarmjan	t a r m j a n
gatarnjan	ɡ a t a r n j a n
taui	t ɔ ɪ
taujan	t ɔ j a n
gataujan	ɡ a t ɔ j a n
missataujan	m ɪ sː a t ɔ j a n
aftaurnan	a ɸ t ɔ r n a n
distaurnan	d ɪ s t ɔ r n a n
gataurnan	ɡ a t ɔ r n a n
teibairius	t i β ɛ r ɪ u s
gateihan	ɡ a t i h a n
fauragateihan	ɸ ɔ r a ɣ a t i h a n
teikan	t i k a n
teimaius	t i m ɛ u s
teimauþaius	t i m ɔ θ ɛ u s
teitus	t i t u s
tekan	t e k a n
attekan	a tː e k a n
tewa	t e w a
gatewjan	ɡ a t e w j a n
tibairiadau	t ɪ β ɛ r ɪ a ð ɔ
tibairiadeis	t ɪ β ɛ r ɪ a ð i s
tigjus	t ɪ ɣ j u s
andtilon	a n d t ɪ l o n
gatilon	ɡ a t ɪ l o n
gagátilon	ɡ a ɣ a t ɪ l o n
til	t ɪ l
gatiman	ɡ a t ɪ m a n
timbrjan	t ɪ m b r j a n
timreins	t ɪ m r i n s
timrja	t ɪ m r j a
timrjan	t ɪ m r j a n
anatimrjan	a n a t ɪ m r j a n
gatimrjan	ɡ a t ɪ m r j a n
miþgatimrjan	m ɪ θ ɡ a t ɪ m r j a n
tiuhan	t ɪ u h a n
aftiuhan	a ɸ t ɪ u h a n
attiuhan	a tː ɪ u h a n
innattiuhan	ɪ nː a tː ɪ u h a n
bitiuhan	b ɪ t ɪ u h a n
gatiuhan	ɡ a t ɪ u h a n
miþgatiuhan	m ɪ θ ɡ a t ɪ u h a n
ustiuhan	u s t ɪ u h a n
tobeias	t o β i a s
trakauneitidaus	t r a k ɔ n i t ɪ ð ɔ s
trauains	t r ɔ ɛ n s
trauan	t r ɔ a n
gatrauan	ɡ a t r ɔ a n
trauadai	t r ɔ a ð ɛ
trausti	t r ɔ s t ɪ
triggwa	t r ɪ ɡ ɡ w a
triggws	t r ɪ ɡ ɡ w s
triggwaba	t r ɪ ɡ ɡ w a β a
trigo	t r ɪ ɣ o
anatrimpan	a n a t r ɪ m p a n
triu	t r ɪ u
triweins	t r ɪ w i n s
trudan	t r u ð a n
gatrudan	ɡ a t r u ð a n
intrusgjan	ɪ n t r u s ɡ j a n
ufartrusnjan	u ɸ a r t r u s n j a n
tuggl	t u ŋ ɡ l̥
tuggo	t u ŋ ɡ o
tulgiþa	t u l ɡ ɪ θ a
tulgjan	t u l ɡ j a n
gatulgjan	ɡ a t u l ɡ j a n
tulgus	t u l ɡ u s
tundnan	t u n d n a n
intundnan	ɪ n t u n d n a n
tunþus	t u n θ u s
twai	t w ɛ
twalibwintrus	t w a l ɪ β w ɪ n t r u s
twalif	t w a l ɪ ɸ
tweifleins	t w i ɸ l i n s
tweifljan	t w i ɸ l j a n
tweifl	t w i ɸ l̥
tweihnai	t w i h n ɛ
twisstass	t w ɪ sː t a sː
twkeikus	t w k i k u s
twra	t w r a
þaddaius	θ a dː ɛ u s
þadei	θ a ð i
þagk	θ a ŋ k
þagkjan	θ a ŋ k j a n
andþagkjan	a n d θ a ŋ k j a n
biþagkjan	b ɪ θ a ŋ k j a n
þahains	θ a h ɛ n s
þahan	θ a h a n
gaþahan	ɡ a θ a h a n
þāho	θ a h o
þaiaufeilus	θ ɛ ɔ ɸ i l u s
þairh	θ ɛ r h
þairko	θ ɛ r k o
gaþairsan	ɡ a θ ɛ r s a n
þaissaloneikai	θ ɛ sː a l o n i k ɛ
þaissalauneikaie	θ ɛ sː a l ɔ n i k ɛ e
þan	θ a n
þanamais	θ a n a m ɛ s
þanaseiþs	θ a n a s i θ s
þande	θ a n d e
þanei	θ a n i
ufþanjan	u ɸ θ a n j a n
þank	θ a n k
þannu	θ a nː u
þanuh	θ a n u h
þar	θ a r
þara	θ a r a
þarba	θ a r b a
gaþarban	ɡ a θ a r b a n
þarbs	θ a r b s
þarei	θ a r i
þarf	θ a r ɸ
þarihs	θ a r ɪ h s
þaruh	θ a r u h
þata	θ a t a
þatain	θ a t ɛ n
þatainei	θ a t ɛ n i
þatei	θ a t i
þatist	θ a t ɪ s t
þatuh	θ a t u h
þaþro	θ a θ r o
þaþroei	θ a θ r o i
þaþroh	θ a θ r o h
þau	θ ɔ
þauhjabai	θ ɔ h j a β ɛ
þaurban	θ ɔ r b a n
þaurfts	θ ɔ r ɸ t s
þaurfts	θ ɔ r ɸ t s
þaurneins	θ ɔ r n i n s
þaurnus	θ ɔ r n u s
þaurp	θ ɔ r p
þaursjan	θ ɔ r s j a n
afþaursjan	a ɸ θ ɔ r s j a n
gaþaursnan	ɡ a θ ɔ r s n a n
þaurstei	θ ɔ r s t i
þaursus	θ ɔ r s u s
þe	θ e
þeei	θ e i
þei	θ i
þeihan	θ i h a n
gaþeihan	ɡ a θ i h a n
ufarþeihan	u ɸ a r θ i h a n
þeihs	θ i h s
þeiƕo	θ i ʍ o
þeins	θ i n s
þewisa	θ e w ɪ s a
atþinsan	a t θ ɪ n s a n
þishun	θ ɪ s h u n
þisƕaduh	θ ɪ s ʍ a ð u h
þisƕah	θ ɪ s ʍ a h
þisƕaruh	θ ɪ s ʍ a r u h
þisƕazuh	θ ɪ s ʍ a z u h
þiubi	θ ɪ u β ɪ
þiubjo	θ ɪ u β j o
þiuda	θ ɪ u ð a
þiudangardi	θ ɪ u ð a n ɡ a r d ɪ
þiudanon	θ ɪ u ð a n o n
miþþiudanon	m ɪ θː ɪ u ð a n o n
þiudans	θ ɪ u ð a n s
þiudinassus	θ ɪ u ð ɪ n a sː u s
þiudisko	θ ɪ u ð ɪ s k o
þiufs	θ ɪ u ɸ s
þiumagus	θ ɪ u m a ɣ u s
þius	θ ɪ u s
þiuþ	θ ɪ u θ
þiuþeigs	θ ɪ u θ i ɣ s
þiuþeins	θ ɪ u θ i n s
þiuqiss	θ ɪ u kʷ ɪ sː
þiuþjan	θ ɪ u θ j a n
gaþiuþjan	ɡ a θ ɪ u θ j a n
unþiuþjan	u n θ ɪ u θ j a n
þiwadw	θ ɪ w a ð w
anaþiwan	a n a θ ɪ w a n
gaþiwan	ɡ a θ ɪ w a n
þiwi	θ ɪ w ɪ
þlahsjan	θ l a h s j a n
gaþlahsnan	ɡ a θ l a h s n a n
gaþláihan	ɡ a θ l ɛ h a n
þlaqus	θ l a kʷ u s
þlauhs	θ l ɔ h s
þliuhan	θ l ɪ u h a n
afþliuhan	a ɸ θ l ɪ u h a n
gaþliuhan	ɡ a θ l ɪ u h a n
unþaþliuhan	u n θ a θ l ɪ u h a n
þomas	θ o m a s
þrafsteins	θ r a ɸ s t i n s
þrafstjan	θ r a ɸ s t j a n
anaþrafstjan	a n a θ r a ɸ s t j a n
gaþrafstjan	ɡ a θ r a ɸ s t j a n
þragjan	θ r a ɣ j a n
biþragjan	b ɪ θ r a ɣ j a n
þramstei	θ r a m s t i
þrasabalþei	θ r a s a β a l θ i
þreihan	θ r i h a n
gaþreihan	ɡ a θ r i h a n
þreihsl	θ r i h s l̥
þreis	θ r i s
þridja	θ r ɪ ð j a
þriskan	θ r ɪ s k a n
usþriutan	u s θ r ɪ u t a n
þroþjan	θ r o θ j a n
usþroþjan	u s θ r o θ j a n
þrūtsfill	θ r u t s ɸ ɪ lː
þrutsfills	θ r u t s ɸ ɪ lː s
þu	θ u
þuei	θ u i
þugkjan	θ u ŋ k j a n
þuhtus	θ u h t u s
þulains	θ u l ɛ n s
þulan	θ u l a n
gaþulan	ɡ a θ u l a n
usþulan	u s θ u l a n
þūsundi	θ u s u n d ɪ
þusundifaþs	θ u s u n d ɪ ɸ a θ s
þuthaurn	θ u t h ɔ r n̥
þuthaurnjan	θ u t h ɔ r n j a n
þwahan	θ w a h a n
afþwahan	a ɸ θ w a h a n
biþwahan	b ɪ θ w a h a n
usþwahan	u s θ w a h a n
þwahl	θ w a h l̥
þwairhei	θ w ɛ r h i
þwairhs	θ w ɛ r h s
þwastiþa	θ w a s t ɪ θ a
gaþwastjan	ɡ a θ w a s t j a n
þwmiama	θ w m ɪ a m a
u	u
ubils	u β ɪ l s
ubiltojis	u β ɪ l t o j ɪ s
ubilwaurdjan	u β ɪ l w ɔ r d j a n
ubilwaurds	u β ɪ l w ɔ r d s
ubizwa	u β ɪ z w a
uf	u ɸ
ufaiþeis	u ɸ ɛ θ i s
ufar	u ɸ a r
ufarassjan	u ɸ a r a sː j a n
ufarassus	u ɸ a r a sː u s
ufarfullei	u ɸ a r ɸ u lː i
ufarfulls	u ɸ a r ɸ u lː s
ufargudja	u ɸ a r ɡ u ð j a
ufarhauseins	u ɸ a r h ɔ s i n s
ufarhiminakunds	u ɸ a r h ɪ m ɪ n a k u n d s
ufarjaina	u ɸ a r j ɛ n a
ufarmaudei	u ɸ a r m ɔ ð i
ufarmeleins	u ɸ a r m e l i n s
ufarmeli	u ɸ a r m e l ɪ
ufaro	u ɸ a r o
ufarranneins	u ɸ a rː a nː i n s
ufarskafts	u ɸ a r s k a ɸ t s
ufarswara	u ɸ a r s w a r a
ufhauseins	u ɸ h ɔ s i n s
ufhnaiweins	u ɸ h n ɛ w i n s
ufitahari	u ɸ ɪ t a h a r ɪ
ufjo	u ɸ j o
ufkunþi	u ɸ k u n θ ɪ
ufswalleins	u ɸ s w a lː i n s
ufta	u ɸ t a
ufto	u ɸ t o
ufwaira	u ɸ w ɛ r a
ugkis	u ŋ k ɪ s
uh	u h
uhtedun	u h t e ð u n
uhteigs	u h t i ɣ s
uhteigo	u h t i ɣ o
uhtiugs	u h t ɪ u ɣ s
uhtwo	u h t w o
ulbandus	u l b a n d u s
unagands	u n a ɣ a n d s
unagein	u n a ɣ i n
unairkns	u n ɛ r k n̥ s
unaiwisks	u n ɛ w ɪ s k s
unanasiuniba	u n a n a s ɪ u n ɪ β a
unandhuliþs	u n a n d h u l ɪ θ s
unandsakans	u n a n d s a k a n s
unandsoks	u n a n d s o k s
unatgāhts	u n a t ɡ a h t s
unbairands	u n b ɛ r a n d s
unbarnahs	u n b a r n a h s
unbaurans	u n b ɔ r a n s
unbeistei	u n b i s t i
unbeistjoþs	u n b i s t j o θ s
unbiari	u n b ɪ a r ɪ
unbilaistiþs	u n b ɪ l ɛ s t ɪ θ s
unbimait	u n b ɪ m ɛ t
unbimaitans	u n b ɪ m ɛ t a n s
unbrūks	u n b r u k s
und	u n d
undar	u n d a r
undaristo	u n d a r ɪ s t o
undarleija	u n d a r l i j a
undaro	u n d a r o
undaurnimats	u n d ɔ r n ɪ m a t s
undiwanei	u n d ɪ w a n i
unfagrs	u n ɸ a ɣ r̥ s
unfairina	u n ɸ ɛ r ɪ n a
unfairinodaba	u n ɸ ɛ r ɪ n o ð a β a
unfairlaistiþs	u n ɸ ɛ r l ɛ s t ɪ θ s
