Grapheme	IPA
anabiudan	a n a β ɪ u ð a n
faurbiudan	ɸ ɔ r b ɪ u ð a n
biugan	b ɪ u ɣ a n
gabiugan	ɡ a β ɪ u ɣ a n
biuhti	b ɪ u h t ɪ
biuhts	b ɪ u h t s
biuþs	b ɪ u θ s
blandan	b l a n d a n
blauþjan	b l ɔ θ j a n
gablauþjan	ɡ a β l ɔ θ j a n
bleiþei	b l i θ i
bleiþjan	b l i θ j a n
gableiþjan	ɡ a β l i θ j a n
bleiþs	b l i θ s
ufblesan	u ɸ b l e s a n
bliggwan	b l ɪ ɡ ɡ w a n
usbliggwan	u s b l ɪ ɡ ɡ w a n
gablindjan	ɡ a β l ɪ n d j a n
afblindnan	a ɸ b l ɪ n d n a n
blinds	b l ɪ n d s
bloma	b l o m a
blotan	b l o t a n
blotinassus	b l o t ɪ n a sː u s
bloþ	b l o θ
bloþarinnandei	b l o θ a r ɪ nː a n d i
bnauan	b n ɔ a n
boka	b o k a
bokareis	b o k a r i s
bota	b o t a
botjan	b o t j a n
gabotjan	ɡ a β o t j a n
braƕa	b r a ʍ a
braidei	b r ɛ ð i
usbraidjan	u s b r ɛ ð j a n
braiþs	b r ɛ θ s
brakja	b r a k j a
gabrannjan	ɡ a β r a nː j a n
inbrannjan	ɪ n b r a nː j a n
briggan	b r ɪ ŋ ɡ a n
brikan	b r ɪ k a n
gabrikan	ɡ a β r ɪ k a n
ufbrikan	u ɸ b r ɪ k a n
brinnan	b r ɪ nː a n
ufbrinnan	u ɸ b r ɪ nː a n
brinno	b r ɪ nː o
broþar	b r o θ a r
broþrahans	b r o θ r a h a n s
broþrulubo	b r o θ r u l u β o
brūkjan	b r u k j a n
usbruknan	u s b r u k n a n
brūks	b r u k s
brunjo	b r u n j o
brunna	b r u nː a
brusts	b r u s t s
brūþfaþs	b r u θ ɸ a θ s
brūþs	b r u θ s
bugjan	b u ɣ j a n
frabugjan	ɸ r a β u ɣ j a n
usbugjan	u s b u ɣ j a n
andbundnan	a n d b u n d n a n
bwssaun	b w sː ɔ n
gadaban	ɡ a ð a β a n
daddjan	d a dː j a n
dags	d a ɣ s
daigs	d ɛ ɣ s
daikapaulis	d ɛ k a p ɔ l ɪ s
daila	d ɛ l a
dailjan	d ɛ l j a n
afdailjan	a ɸ d ɛ l j a n
disdailjan	d ɪ s d ɛ l j a n
fradailjan	ɸ r a ð ɛ l j a n
gadailjan	ɡ a ð ɛ l j a n
dails	d ɛ l s
daimonareis	d ɛ m o n a r i s
dals	d a l s
dalaþ	d a l a θ
dalaþa	d a l a θ a
dalaþro	d a l a θ r o
dalmatia	d a l m a t ɪ a
damaskon	d a m a s k o n
faurdammjan	ɸ ɔ r d a mː j a n
daubei	d ɔ β i
daubiþa	d ɔ β ɪ θ a
gadaubjan	ɡ a ð ɔ β j a n
afdaubnan	a ɸ d ɔ β n a n
usdaudjan	u s d ɔ ð j a n
daufs	d ɔ ɸ s
dauhtar	d ɔ h t a r
dauhts	d ɔ h t s
afdauiþs	a ɸ d ɔ ɪ θ s
dauns	d ɔ n s
daupeins	d ɔ p i n s
daupjan	d ɔ p j a n
ufdaupjan	u ɸ d ɔ p j a n
daupjands	d ɔ p j a n d s
daur	d ɔ r
daurawarda	d ɔ r a w a r d a
daurawardo	d ɔ r a w a r d o
daurawards	d ɔ r a w a r d s
dauriþaius	d ɔ r ɪ θ ɛ u s
daurons	d ɔ r o n s
gadaursan	ɡ a ð ɔ r s a n
dauþeins	d ɔ θ i n s
dauþjan	d ɔ θ j a n
afdauþjan	a ɸ d ɔ θ j a n
gadauþjan	ɡ a ð ɔ θ j a n
gadauþnan	ɡ a ð ɔ θ n a n
miþgadauþnan	m ɪ θ ɡ a ð ɔ θ n a n
dauþs	d ɔ θ s
dauþubleis	d ɔ θ u β l i s
dauþus	d ɔ θ u s
daweid	d a w i ð
demas	d e m a s
diabula	d ɪ a β u l a
diabaulus	d ɪ a β ɔ l u s
diabulus	d ɪ a β u l u s
diakaunus	d ɪ a k ɔ n u s
didimus	d ɪ ð ɪ m u s
digan	d ɪ ɣ a n
gadigan	ɡ a ð ɪ ɣ a n
digrei	d ɪ ɣ r i
distaheins	d ɪ s t a h i n s
diswiss	d ɪ s w ɪ sː
diupei	d ɪ u p i
diupiþa	d ɪ u p ɪ θ a
gadiupjan	ɡ a ð ɪ u p j a n
diups	d ɪ u p s
dius	d ɪ u s
diwan	d ɪ w a n
afdobnan	a ɸ d o β n a n
afdojan	a ɸ d o j a n
domjan	d o m j a n
afdomjan	a ɸ d o m j a n
bidomjan	b ɪ ð o m j a n
gadomjan	ɡ a ð o m j a n
doms	d o m s
gadraban	ɡ a ð r a β a n
dragan	d r a ɣ a n
gadragan	ɡ a ð r a ɣ a n
dragk	d r a ŋ k
dragkjan	d r a ŋ k j a n
gadragkjan	ɡ a ð r a ŋ k j a n
draibjan	d r ɛ β j a n
drakma	d r a k m a
drauhsnos	d r ɔ h s n o s
drauhtinassus	d r ɔ h t ɪ n a sː u s
drauhtinon	d r ɔ h t ɪ n o n
drauhtiwitoþ	d r ɔ h t ɪ w ɪ t o θ
afdrausjan	a ɸ d r ɔ s j a n
gadrausjan	ɡ a ð r ɔ s j a n
drausnos	d r ɔ s n o s
dreiban	d r i β a n
usdreiban	u s d r i β a n
drigkan	d r ɪ ŋ k a n
anadrigkan	a n a ð r ɪ ŋ k a n
gadrigkan	ɡ a ð r ɪ ŋ k a n
driugan	d r ɪ u ɣ a n
driusan	d r ɪ u s a n
atdriusan	a t d r ɪ u s a n
disdriusan	d ɪ s d r ɪ u s a n
gadriusan	ɡ a ð r ɪ u s a n
usdriusan	u s d r ɪ u s a n
driuso	d r ɪ u s o
drobjan	d r o β j a n
drobna	d r o β n a
drobnan	d r o β n a n
gadrobnan	ɡ a ð r o β n a n
indrobnan	ɪ n d r o β n a n
drugkanei	d r u ŋ k a n i
drunjus	d r u n j u s
drus	d r u s
du	d u
dugan	d u ɣ a n
duƕe	d u ʍ e
dulgahaitja	d u l ɡ a h ɛ t j a
dulgis	d u l ɡ ɪ s
dulþjan	d u l θ j a n
dulþs	d u l θ s
afdumbnan	a ɸ d u m b n a n
dumbs	d u m b s
duþe	d u θ e
dwalawaurdei	d w a l a w ɔ r d i
dwaliþa	d w a l ɪ θ a
dwalmon	d w a l m o n
dwals	d w a l s
eeiram	e i r a m
ei	i
eiaireiko	i ɛ r i k o
eikaunion	i k ɔ n ɪ o n
eisarn	i s a r n̥
eisarnabandi	i s a r n a β a n d ɪ
eisarneins	i s a r n i n s
eiþan	i θ a n
eiþau	i θ ɔ
esaïas	e s ɛ̈ a s
esaw	e s a w
fadar	ɸ a ð a r
faddasur	ɸ a dː a s u r
fadrein	ɸ a ð r i n
fadreins	ɸ a ð r i n s
faginon	ɸ a ɣ ɪ n o n
miþfaginon	m ɪ θ ɸ a ɣ ɪ n o n
fagrs	ɸ a ɣ r̥ s
fāhan	ɸ a h a n
gafahan	ɡ a ɸ a h a n
faheþs	ɸ a h e θ s
fullafahjan	ɸ u lː a ɸ a h j a n
gafahrjan	ɡ a ɸ a h r j a n
faian	ɸ ɛ a n
bifaihon	b ɪ ɸ ɛ h o n
gafaihon	ɡ a ɸ ɛ h o n
faihu	ɸ ɛ h u
faihufrikei	ɸ ɛ h u ɸ r ɪ k i
faihufriks	ɸ ɛ h u ɸ r ɪ k s
faihugairnei	ɸ ɛ h u ɣ ɛ r n i
faihugairns	ɸ ɛ h u ɣ ɛ r n̥ s
faihugawaurki	ɸ ɛ h u ɣ a w ɔ r k ɪ
faihugeiro	ɸ ɛ h u ɣ i r o
faihuskula	ɸ ɛ h u s k u l a
faihuþraihna	ɸ ɛ h u θ r ɛ h n a
fairguni	ɸ ɛ r ɡ u n ɪ
waifairƕjan	w ɛ ɸ ɛ r ʍ j a n
fairƕus	ɸ ɛ r ʍ u s
fairina	ɸ ɛ r ɪ n a
fairinon	ɸ ɛ r ɪ n o n
fairneis	ɸ ɛ r n i s
fairniþa	ɸ ɛ r n ɪ θ a
fairns	ɸ ɛ r n̥ s
fairra	ɸ ɛ rː a
fairraþro	ɸ ɛ rː a θ r o
fairweitl	ɸ ɛ r w i t l̥
fairzna	ɸ ɛ r z n a
falaig	ɸ a l ɛ ɣ
