ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	MEANING	SENSE	SENSE_ID
291	2077	DILIGENT				
292	25	DIRT				
293	1230	DIRTY				
294	485	DISAPPEAR				
295	1986	DISEASE	sauhts*	Krankheit	Krankheit	Krankheit-1
296	1986	DISEASE	siukei	Krankheit	Krankheit	Krankheit-2
297	1986	DISEASE	unhaili	 Krankheit; Schwäche	 Krankheit	Krankheit-3
298	1986	DISEASE	unmahts	 Krankheit;  Schwäche; Ohnmacht	 Krankheit	Krankheit-4
299	481	DISH	mats	Speise	Speise	Speise-1
300	2978	DISTANCE				
301	2883	DISTURB				
302	119	DIVE				
303	1119	DIVIDE	dailjan	teilen;  zuteilen;  mitteilen	teilen	teilen-1
304	813	DO	taujan	tun;  machen	tun	tun-1
305	813	DO	waurstwei	das Tun	das Tun	dasTun-1
306	2009	DOG	hunds	Hund	Hund	Hund-1
307	1659	DOLL				
308	196	DONATE	fra-giban	vergeben;  verleihn;  schenken	 schenken	schenken-1
309	1567	DOOR	daurons	 Tor;  Tür	 Tür	Tur-1
310	1567	DOOR	haurds	 Tür	 Tür	Tur-2
311	1326	DOWN	dalaþ	zu Tal;  abwärts;  nieder;  auf die Erde	 abwärts	abwarts-1
312	2030	DRAG				
313	93	DRAW MILK				
314	2374	DREAM				
315	814	DRESS UP				
316	1401	DRINK	ga-drigkan	trinken	trinken	trinken-1
317	741	DRIVE	farjan	fahren	fahren	fahren-1
318	2868	DRIVE (CATTLE)	draibjan	treiben;  plagen	treiben	treiben-1
319	2868	DRIVE (CATTLE)	dreiban	treiben	treiben	treiben-2
320	3748	DROP (OF A LIQUID)				
321	2866	DROP (SOMETHING)				
322	1398	DRY				
323	1786	DRY UP				
324	1360	DUCK				
325	2	DUST	mulda	Staub	Staub	Staub-1
326	2	DUST	stubjus	Staub	Staub	Staub-2
327	363	DWELL (LIVE, RESIDE)	bauan	wohnen;  bewohnen	wohnen	wohnen-1
328	363	DWELL (LIVE, RESIDE)	wisan	 bleiben; sein; sich freuen;  dasein;  existieren;  schwelgen;  schmausen; weilen	weilen	weilen-1
329	157	DYE				
330	1905	EAGLE				
331	1247	EAR	auso	Ohr	Ohr	Ohr-1
332	1228	EARTH (SOIL)	airþa	Erde;  Land	Erde	Erde-1
333	1877	EAST				
334	1336	EAT	itan	essen	essen	essen-1
335	1336	EAT	matjan	essen	essen	essen-2
336	1336	EAT	ga-matjan	essen	essen	essen-3
337	863	EDGE				
338	744	EGG				
339	1705	EIGHT	ahtau	acht	acht	acht-1
340	1722	EIGHTY	ahtautehund	achtzig	achtzig	achtzig-1
341	981	ELBOW				
342	2936	ELEVATION				
343	1706	ELEVEN	ainlif*	elf	elf	elf-1
344	1772	ELK				
345	1076	EMERGE (APPEAR)				
347	1624	EMPTY	laus	 leer; los	 leer	leer-2
348	742	END (OF SPACE)	andeis	Ende	Ende	Ende-1
349	742	END (OF SPACE)	ustauhts	 Ende;  Erfüllung; Vollendung;  Vervollkommnung	 Ende	Ende-2
350	743	END (OF TIME)				
352	833	ENDURE	ga-beidan	 ertragen; ausharren	 ertragen	ertragen-2
353	833	ENDURE	us-þulan	 ertragen; erdulden	 ertragen	ertragen-3
354	1358	ENEMY	fijands	Feind	Feind	Feind-1
355	749	ENTER				
356	1615	ESCAPE				
357	1629	EVENING	andanahti	Abend	Abend	Abend-1
358	2999	EVERYWHERE				
359	45	EVIL	ubils	übel;  böse	 böse	bose-1
360	45	EVIL	unsels	übel;  böse	 böse	bose-2
361	45	EVIL	unþiuþ	das Böse	das Böse	dasBose-1
362	1426	EXPENSIVE				
363	1248	EYE	augo	Auge	Auge	Auge-1
364	1560	FACE	andaugi	Antlitz	Antlitz	Antlitz-1
367	2937	FAIRY TALE				
368	1280	FALL	driusan	fallen	fallen	fallen-1
369	1106	FALL ASLEEP				
370	3005	FAMILIAR	kunþs	kund;  bekannt	 bekannt	bekannt-1
373	194	FAMILY	gards	Haus;  Hauswesen;  Familie	 Familie	Familie-1
374	1406	FAR	fairra	fern	fern	fern-1
375	1279	FAT (OBESE)				
376	323	FAT (ORGANIC SUBSTANCE)	smairþr*	Fett	Fett	Fett-1
